index,Job_ title,Salary _estimate,Rating,Company _name,Job_state,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary,Max_ salary,Avg_Salary,Job
122,Senior Data Scientist,99 -132 ,4.5,"Novetta
4.5",VA,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,132,134.5,Data Scientist
123,Data Engineer,99 -132 ,4.2,"IZEA
4.2",FL,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),137,132,134.5,NA
124,Business Intelligence Analyst,99 -132 ,3.4,"Montway Inc
3.4",IL,"Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2006,Company - Private,Shipping,Transportation & Logistics,Unknown / Non-Applicable,137,132,134.5,Data Analyst
125,Sr. ML/Data Scientist - AI/NLP/Chatbot,99 -132 ,3.8,"Juniper Networks
3.8",CA,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),137,132,134.5,Data Scientist
126,Data Scientist,90 -109 ,4.7,"1904labs
4.7",MO,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,109,123,Data Scientist
127,Data Scientist,90 -109 ,3.6,"XSELL Technologies
3.6",IL,"Chicago, IL","Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,109,123,Data Scientist
128,Data Engineer,90 -109 ,4.2,"IZEA
4.2",FL,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),137,109,123,NA
129,Sr. ML/Data Scientist - AI/NLP/Chatbot,90 -109 ,3.8,"Juniper Networks
3.8",CA,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),137,109,123,Data Scientist
130,Data Scientist,90 -109 ,5,"Notion Labs
5.0",CA,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,109,123,Data Scientist
131,Senior Data Engineer,90 -109 ,4.9,"Lendio
4.9",UT,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),137,109,123,NA
132,Data Engineer,90 -109 ,4.4,"Direct Agents
4.4",CA,"Culver City, CA","New York, NY",51 to 200 employees,2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),137,109,123,NA
133,Data Scientist,90 -109 ,3.3,"NAVEX Global
3.3",OR,"Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),137,109,123,Data Scientist
136,Senior Data Engineer,90 -109 ,4.9,"Lendio
4.9",UT,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),137,109,123,NA
137,Data Scientist,90 -109 ,4.2,"Upstart
4.2",CA,"San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,137,109,123,Data Scientist
138,Data Analyst,90 -109 ,4.5,"Envision LLC
4.5",CA,"San Francisco, CA","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),137,109,123,Data Analyst
139,Data Engineer,90 -109 ,4.8,"AppLovin
4.8",CA,"Palo Alto, CA","Palo Alto, CA",201 to 500 employees,2012,Company - Private,Video Games,Media,Unknown / Non-Applicable,137,109,123,NA
140,Data Integration and Modeling Engineer,90 -109 ,3.8,"ISO New England
3.8",MA,"Holyoke, MA","Holyoke, MA",501 to 1000 employees,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,137,109,123,NA
141,Tableau Data Engineer 20-0117,90 -109 ,3.7,"Relativity
3.7",IL,"Chicago, IL","Chicago, IL",1001 to 5000 employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,109,123,NA
142,Senior Data Scientist,90 -109 ,3.3,"Tempo Automation
3.3",CA,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),137,109,123,Data Scientist
143,AI Data Scientist,90 -109 ,3.3,"MITRE
3.3",VA,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),137,109,123,Data Scientist
144,Machine Learning Engineer,90 -109 ,5,"Expedition Technology, Inc.
5.0",VA,"Herndon, VA","Dulles, VA",1 to 50 employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),137,109,123,NA
145,Research Scientist Patient Preferences (Remote),90 -109 ,3.8,"Evidera
3.8",MD,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,109,123,Data Scientist
146,Data Scientist,90 -109 ,3.4,"Plymouth Rock Assurance
3.4",NJ,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),137,109,123,Data Scientist
147,Scientist - Biomarker and Flow Cytometry,90 -109 ,2.4,"Crown Bioscience
2.4",CA,"San Diego, CA","San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),137,109,123,Data Scientist
148,Data Scientist,90 -109 ,2.9,"GNS Healthcare
2.9",MA,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),137,109,123,Data Scientist
149,Analytics Manager,90 -109 ,4.4,"OneMagnify
4.4",MI,"Dearborn, MI","Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,109,123,NA
150,Data Scientist,90 -109 ,2.9,"SPECTRUM
2.9",MO,"Maryland Heights, MO","Stamford, CT",10000+ employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),137,109,123,Data Scientist
151,Staff Scientist- Upstream PD,90 -109 ,2.7,"Advanced BioScience Laboratories
2.7",MD,"Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),137,109,123,Data Scientist
152,Data Engineer,90 -109 ,4.2,"Procore Technologies
4.2",CA,"Carpinteria, CA","Carpinteria, CA",1001 to 5000 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,109,123,NA
153,Sr Scientist - Extractables & Leachables,90 -109 ,3.5,"Ritedose
3.5",SC,"Columbia, SC","Columbia, SC",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,109,123,Data Scientist
154,ELISA RESEARCH SCIENTIST (CV-15),90 -109 ,-1,Covid-19 Search Partners,NY,"Hauppauge, NY",-1,-1,-1,-1,-1,-1,-1,137,109,123,Data Scientist
155,Sr Data Scientist,90 -109 ,4.2,"bioMérieux
4.2",MO,"Saint Louis, MO","Marcy-l'Etoile, France",10000+ employees,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),137,109,123,Data Scientist
156,Data Scientist,101 -165 ,4.5,"Novetta
4.5",VA,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,165,151,Data Scientist
157,Experienced Data Scientist,101 -165 ,4.4,"Guzman & Griffin Technologies (GGTI)
4.4",DC,"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,137,165,151,Data Scientist
158,Machine Learning Engineer,101 -165 ,-1,Radical Convergence,VA,"Reston, VA",-1,-1,-1,-1,-1,-1,-1,137,165,151,NA
159,Data Scientist,101 -165 ,3.5,"Leidos
3.5",MD,"Fort Meade, MD","Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),137,165,151,Data Scientist
160,Data Scientist,101 -165 ,4.5,"Demandbase
4.5",CA,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),137,165,151,Data Scientist
161,Say Business Data Analyst,101 -165 ,4.1,"Shelter Insurance
4.1",MO,"Columbia, MO","Columbia, MO",1001 to 5000 employees,1946,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),137,165,151,Data Analyst
162,Geospatial Data Scientist,101 -165 ,3.5,"Maxar Technologies
3.5",VA,"Chantilly, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),137,165,151,Data Scientist
163,Data Analyst,101 -165 ,2.7,"USAC
2.7",DC,"Washington, DC","Washington, DC",501 to 1000 employees,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million (USD),137,165,151,Data Analyst
164,Computational Scientist,101 -165 ,3.4,"General Dynamics Information Technology
3.4",MS,"Vicksburg, MS","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),137,165,151,Data Scientist
165,Data Scientist,101 -165 ,4.4,"Offerpad
4.4",AZ,"Chandler, AZ","Chandler, AZ",201 to 500 employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,137,165,151,Data Scientist
166,Senior Data Analyst,101 -165 ,4,"Autodesk
4.0",CA,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,165,151,Data Analyst
167,Senior Data Analyst,101 -165 ,4.2,"Autodesk
4.0",CA,"San Francisco, CA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,165,151,Data Analyst
168,Data Engineer,101 -165 ,3.5,"Magna International Inc.
3.5",AL,"Birmingham, AL","Aurora, Canada",10000+ employees,1957,Company - Public,-1,-1,$10+ billion (USD),137,165,151,NA
169,Sr Data Analyst,101 -165 ,2.3,"United BioSource
2.3",PA,"Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,165,151,Data Analyst
170,Data Scientist,101 -165 ,3.4,"Kelly
3.4",IL,"Chicago, IL","Troy, MI",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),137,165,151,Data Scientist
171,"Machine Learning Scientist - Bay Area, CA",101 -165 ,3.3,"Tempus Labs
3.3",CA,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,165,151,Data Scientist
172,Data Scientist,101 -165 ,4.7,"C3.ai
4.7",CA,"Redwood City, CA","Redwood City, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,165,151,Data Scientist
173,Senior Data Scientist - Algorithms,101 -165 ,3.9,"Quartet Health
3.9",NY,"New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,165,151,Data Scientist
174,Data Analyst,101 -165 ,3.3,"Midland Credit Management
3.3",CA,"San Diego, CA","San Diego, CA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),137,165,151,Data Analyst
175,Senior Data & Machine Learning Scientist,101 -165 ,3.3,"Tempus Labs
3.3",IL,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,165,151,Data Scientist
176,Data Engineer,101 -165 ,4.4,"Resurgent Capital Services
4.4",OH,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),137,165,151,NA
177,"Data Scientist - Statistics, Early Career",56 -97 ,3.7,"PNNL
3.7",WA,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,97,117,Data Scientist
178,Data Scientist,56 -97 ,3.5,"Buckman
3.5",TN,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137,97,117,Data Scientist
179,Machine Learning Engineer,56 -97 ,3.6,"Buckman
3.5",TN,"Memphis, TN","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),137,97,117,NA
180,Research Scientist - Patient-Centered Research (Remote),56 -97 ,3.8,"Evidera
3.8",MD,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,97,117,Data Scientist
181,Jr. Business Data Analyst (position added 6/12/2020),56 -97 ,4.7,"webfx.com
4.7",PA,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),137,97,117,Data Analyst
182,Sr. Data Scientist II,56 -97 ,3.5,"Argo Group US
3.5",NY,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),137,97,117,Data Scientist
183,Data Scientist,56 -97 ,3.3,"BWX Technologies
3.3",TN,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),137,97,117,Data Scientist
184,Senior Data Analyst,56 -97 ,3.9,"Life360
3.9",CA,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,137,97,117,Data Analyst
185,Lead Data Scientist,56 -97 ,3.7,"MassMutual
3.7",MA,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),137,97,117,Data Scientist
186,Production Engineer - Statistics/Data Analysis,56 -97 ,3.9,"Natera
3.9",CA,"San Carlos, CA","San Carlos, CA",501 to 1000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,97,117,NA
187,Statistical Scientist,56 -97 ,4,"Genentech
4.0",CA,"South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,97,117,Data Scientist
188,Computational Behavioral Scientist,56 -97 ,4.2,"Ntrepid
4.2",VA,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),137,97,117,Data Scientist
189,Principal Data Scientist - Machine Learning,56 -97 ,3.6,"Constant Contact
3.6",MA,"Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,97,117,Data Scientist
190,Principal Machine Learning Scientist,56 -97 ,4.7,"Sage Intacct
4.7",CA,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,97,117,Data Scientist
191,Data Engineer,56 -97 ,4.1,"Shape Security
4.1",CA,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,97,117,NA
192,Principal Data Scientist,56 -97 ,4,"AstraZeneca
4.0",MD,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,97,117,Data Scientist
193,Data Scientist,56 -97 ,5,"SkillSoniq
5.0",CA,"San Francisco, CA","Jersey City, NJ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,137,97,117,Data Scientist
194,Senior Data Scientist - R&D Oncology,56 -97 ,4,"AstraZeneca
4.0",NY,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,97,117,Data Scientist
195,Data Scientist,56 -97 ,4.3,"Joby Aviation
4.3",CA,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,137,97,117,Data Scientist
196,"Health Plan Data Analyst, Sr",56 -97 ,3.8,"Cook Children's Health Care System
3.8",TX,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),137,97,117,Data Analyst
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",56 -97 ,3.8,"Rubius Therapeutics
3.8",RI,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,97,117,Data Scientist
198,Analytics - Business Assurance Data Analyst,56 -97 ,4.6,"GreatAmerica Financial Services
4.6",IA,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),137,97,117,Data Analyst
200,Data Scientist,79 -106 ,3.4,"Spectrum Communications and Consulting
3.4",IL,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,106,121.5,Data Scientist
201,Data Scientist,79 -106 ,4.1,"Coverent
4.1",VA,"McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),137,106,121.5,Data Scientist
202,Machine Learning Engineer,79 -106 ,3.7,"Mteq
3.7",VA,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),137,106,121.5,NA
203,Data Engineer,79 -106 ,4.4,"Rocket Lawyer
4.4",CA,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),137,106,121.5,NA
204,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",79 -106 ,3.9,"Novartis
3.9",MA,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,106,121.5,Data Scientist
205,Data Engineer,79 -106 ,3.6,"Alion Science & Technology
3.6",MD,"Linthicum Heights, MD","Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD),137,106,121.5,NA
206,Data Science Instructor,79 -106 ,4.5,"Novetta
4.5",VA,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,106,121.5,NA
207,Senior Business Intelligence Analyst,79 -106 ,3.7,"Protolabs
3.7",MN,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),137,106,121.5,Data Analyst
208,In-Line Inspection Data Analyst,79 -106 ,2.9,"Quest Integrity
2.9",OK,"Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),137,106,121.5,Data Analyst
209,Data Scientist - TS/SCI FSP or CI Required,79 -106 ,5,"Phoenix Operations Group
5.0",MD,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),137,106,121.5,Data Scientist
210,Data Scientist,79 -106 ,3.4,"Dice.com
3.4",MA,"Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),137,106,121.5,Data Scientist
211,Senior Data Scientist,79 -106 ,3.5,"Maxar Technologies
3.5",VA,"Herndon, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),137,106,121.5,Data Scientist
212,Data Scientist - TS/SCI Required,79 -106 ,5,"Phoenix Operations Group
5.0",MD,"Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),137,106,121.5,Data Scientist
213,Data Science Software Engineer,79 -106 ,4.8,"Klaviyo
4.8",MA,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,106,121.5,NA
214,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,79 -106 ,3.9,"Southwest Research Institute
3.9",OK,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),137,106,121.5,Data Scientist
215,AI Ops Data Scientist,79 -106 ,4,"AstraZeneca
4.0",MD,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,106,121.5,Data Scientist
216,"Intelligence Data Analyst, Senior",79 -106 ,4.3,"The Buffalo Group
4.3",VA,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),137,106,121.5,Data Analyst
217,Analytics Manager - Data Mart,79 -106 ,3.5,"Central California Alliance for Health
3.5",CA,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),137,106,121.5,NA
218,Data Modeler (Analytical Systems),79 -106 ,3.7,"MassMutual
3.7",MA,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),137,106,121.5,NA
219,"Senior Machine Learning Scientist - Bay Area, CA",79 -106 ,3.3,"Tempus Labs
3.3",CA,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,106,121.5,Data Scientist
220,Report Writer-Data Analyst,79 -106 ,3.1,"Security Finance Corporation of Spartanburg
3.1",SC,"Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Lending,Finance,Unknown / Non-Applicable,137,106,121.5,Data Analyst
221,Data Scientist/Machine Learning,71 -123 ,4.3,"PulsePoint
4.3",NY,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137,123,130,Data Scientist
222,Data Scientist - Risk,71 -123 ,4.2,"LSQ
4.2",FL,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137,123,130,Data Scientist
223,Data Engineer,71 -123 ,4.4,"Resurgent Capital Services
4.4",OH,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),137,123,130,NA
224,Staff Data Scientist - Pricing,71 -123 ,3.6,"Opendoor
3.6",CA,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,2014,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD),137,123,130,Data Scientist
225,Data Scientist,71 -123 ,4.5,"Global Data Management Inc
4.5",CT,"Hartford, CT","Woodbridge, NJ",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),137,123,130,Data Scientist
226,Data Scientist,71 -123 ,3,"Photon Infotech
3.0",IL,"Chicago, IL","Chennai, India",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),137,123,130,Data Scientist
228,Machine Learning Engineer,71 -123 ,3.6,"Riverside Research Institute
3.6",OH,"Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),137,123,130,NA
229,Equity Data Insights Analyst - Quantitative Analyst,71 -123 ,3.6,"T. Rowe Price
3.6",MD,"Baltimore, MD","Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),137,123,130,Data Analyst
230,Data Scientist,71 -123 ,-1,"Encode, Inc.",VA,"Norfolk, VA","Manalapan, NJ",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),137,123,130,Data Scientist
231,Research Scientist - Patient-Centered Research (Remote),71 -123 ,3.8,"Evidera
3.8",MD,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,123,130,Data Scientist
232,Data Scientist,71 -123 ,3.3,"BWX Technologies
3.3",TN,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),137,123,130,Data Scientist
233,Operations Data Analyst,71 -123 ,3.8,"Brighthouse Financial
3.8",NC,"Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,123,130,Data Analyst
234,Sr. Data Scientist II,71 -123 ,3.5,"Argo Group US
3.5",NY,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),137,123,130,Data Scientist
235,Data Scientist,71 -123 ,3.3,"II-VI Incorporated
3.3",IL,"Champaign, IL","Saxonburg, PA",10000+ employees,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD),137,123,130,Data Scientist
236,Data Scientist,71 -123 ,4.6,"Surya Systems
4.6",CA,"San Francisco, CA","Bristol, PA",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),137,123,130,Data Scientist
238,Senior Data Analyst,71 -123 ,3.9,"Life360
3.9",CA,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,137,123,130,Data Analyst
239,Data Scientist,71 -123 ,3.9,"Predictive Research Inc
3.9",TX,"Plano, TX","Bangalore, India",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,137,123,130,Data Scientist
240,Data Scientist,90 -124 ,4.7,"Oversight Systems
4.7",GA,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137,124,130.5,Data Scientist
241,Senior Research Statistician- Data Scientist,90 -124 ,4.8,"Acuity Insurance
4.8",WI,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),137,124,130.5,Data Scientist
